Invoice Number,CU Serial Number,CU Invoice Number,Amount,Date-time
935610,KRAMW019202207043466,0190434660000013561,2671.19,2023-01-25 15:42:37
935608,KRAMW019202206040751,0190407510000013559,2233.27,2023-01-25 15:41:56
935605,KRAMW019202207043466,0190434660000013558,676979.4,2023-01-25 15:36:02
935604,KRAMW019202206040751,0190407510000013557,177983.6,2023-01-25 15:31:41
935602,KRAMW019202206040751,0190407510000013556,125943.8,2023-01-25 15:25:28
935598,KRAMW019202207043466,0190434660000013554,29333.23,2023-01-25 15:17:42
935593,KRAMW019202207043466,0190434660000013549,2700.02,2023-01-25 15:06:08
935591,KRAMW019202206040751,0190407510000013548,2277.02,2023-01-25 15:02:10
935590,KRAMW019202206040751,0190407510000013547,63375.9,2023-01-25 15:00:34
935588,KRAMW019202206040751,0190407510000013545,8030,2023-01-25 14:54:48
935586,KRAMW019202206040751,0190407510000013543,5272.73,2023-01-25 14:52:51
935584,KRAMW019202206040751,0190407510000013542,31687.95,2023-01-25 14:51:30
935582,KRAMW019202206040751,0190407510000013540,6520.85,2023-01-25 14:49:43
935581,KRAMW019202206040751,0190407510000013539,3338.99,2023-01-25 14:47:50
935579,KRAMW019202206040751,0190407510000013538,1701.89,2023-01-25 14:46:51
935578,KRAMW019202207043466,0190434660000013536,5140.62,2023-01-25 14:44:23
935576,KRAMW019202207043466,0190434660000013534,4525.78,2023-01-25 14:40:04
935575,KRAMW019202206040751,0190407510000013532,661.2,2023-01-25 14:38:02
935574,KRAMW019202207043466,0190434660000013533,3328.53,2023-01-25 14:37:07
935573,KRAMW019202206040751,0190407510000013531,25051.85,2023-01-25 14:36:03
935571,KRAMW019202206040751,0190407510000013528,58727.75,2023-01-25 14:31:49
935569,KRAMW019202207043466,0190434660000013526,50489.23,2023-01-25 14:28:10
935567,KRAMW019202206040751,0190407510000013524,16544.14,2023-01-25 14:26:31
935566,KRAMW019202207043466,0190434660000013523,7499.26,2023-01-25 14:24:11
935564,KRAMW019202207043466,0190434660000013521,37484.71,2023-01-25 14:23:00
935563,KRAMW019202206040751,0190407510000013520,49724.8,2023-01-25 14:21:59
935562,KRAMW019202207043466,0190434660000013519,1622.43,2023-01-25 14:20:46
935561,KRAMW019202206040751,0190407510000013517,217683,2023-01-25 14:18:10
935560,KRAMW019202206040751,0190407510000013516,31687.95,2023-01-25 14:15:14
935559,KRAMW019202206040751,0190407510000013515,2023.18,2023-01-25 14:12:01
935558,KRAMW019202207043466,0190434660000013515,1701.89,2023-01-25 14:10:58
935557,KRAMW019202206040751,0190407510000013513,98958.62,2023-01-25 14:09:27
935556,KRAMW019202206040751,0190407510000013511,31687.95,2023-01-25 14:07:34
935554,KRAMW019202207043466,0190434660000013511,48226.49,2023-01-25 14:06:42
935552,KRAMW019202207043466,0190434660000013509,4058.84,2023-01-25 14:02:51
935550,KRAMW019202206040751,0190407510000013506,3358.94,2023-01-25 13:58:32
935549,KRAMW019202206040751,0190407510000013505,75733.85,2023-01-25 13:54:50
935547,KRAMW019202206040751,0190407510000013503,505.79,2023-01-25 13:51:33
935545,KRAMW019202206040751,0190407510000013502,270,2023-01-25 13:49:44
935543,KRAMW019202206040751,0190407510000013501,42806.09,2023-01-25 13:48:56
935540,KRAMW019202207043466,0190434660000013500,9013.31,2023-01-25 13:44:54
935539,KRAMW019202206040751,0190407510000013498,299866,2023-01-25 13:43:46
935534,KRAMW019202206040751,0190407510000013493,1111.48,2023-01-25 13:36:16
935533,KRAMW019202207043466,0190434660000013494,126223.1,2023-01-25 13:34:38
935531,KRAMW019202207043466,0190434660000013493,27468.05,2023-01-25 13:32:11
935529,KRAMW019202207043466,0190434660000013492,8285.15,2023-01-25 13:28:00
935528,KRAMW019202207043466,0190434660000013491,775.79,2023-01-25 13:25:40
935526,KRAMW019202207043466,0190434660000013490,610.84,2023-01-25 13:23:58
935525,KRAMW019202206040751,0190407510000013488,11968.29,2023-01-25 13:23:05
935524,KRAMW019202207043466,0190434660000013489,4725.03,2023-01-25 13:20:34
935523,KRAMW019202206040751,0190407510000013487,41088.6,2023-01-25 13:18:36
935522,KRAMW019202206040751,0190407510000013486,1485.01,2023-01-25 13:17:37
